a,b,c,d,e,f,g,h,i,j,k,l,m
0.21,0.0077103,0.0078766,-0.008695,-0.0089378,0.0027923,0.0031429,0.0099218,0.010602,-0.0088528,-0.0082108,-0.011905,-0.012281
0.22,0.0056144,0.0053942,-0.010068,-0.010092,0.0041925,0.0049346,0.012458,0.011287,-0.012302,-0.012092,-0.0075386,-0.0074317
0.23,0.0033948,0.0033231,-0.01096,-0.011746,0.0054666,0.0061668,0.014574,0.014537,-0.01535,-0.015267,-0.0025976,-0.0022397
0.24,0.0012405,0.0013553,-0.011666,-0.012211,0.0067269,0.0072851,0.016091,0.016312,-0.018158,-0.017484,0.0031072,0.0029304
0.25,-0.0012693,-0.0010069,-0.012137,-0.012633,0.0078789,0.0079974,0.017183,0.01773,-0.020338,-0.020896,0.0081726,0.0076646
0.26,-0.003705,-0.0031411,-0.012413,-0.012936,0.0086318,0.0097292,0.01823,0.017703,-0.022167,-0.022484,0.012848,0.012789
0.27,-0.0056334,-0.0060524,-0.012429,-0.013027,0.0091471,0.010383,0.018823,0.018776,-0.023969,-0.022823,0.017085,0.017969
0.28,-0.0076143,-0.0071539,-0.012065,-0.01269,0.0095428,0.010612,0.018962,0.019001,-0.025053,-0.02454,0.021246,0.018485
0.29,-0.0092677,-0.0094377,-0.011514,-0.012459,0.0096363,0.010912,0.018425,0.018546,-0.025407,-0.025123,0.024371,0.025134
0.3,-0.010976,-0.0099115,-0.010706,-0.011545,0.0095948,0.010913,0.017587,0.018179,-0.025207,-0.025132,0.027816,0.0244
0.31,-0.012169,-0.012439,-0.0096912,-0.010771,0.0092608,0.010599,0.016574,0.017708,-0.024462,-0.024644,0.030003,0.029351
0.32,-0.013165,-0.012985,-0.0082291,-0.0080443,0.0087808,0.010301,0.015372,0.017092,-0.022783,-0.022641,0.031671,0.030181
0.33,-0.013867,-0.013825,-0.0067389,-0.0072497,0.0080845,0.0095233,0.013562,0.01402,-0.02083,-0.021674,0.032375,0.031705
0.34,-0.014267,-0.014252,-0.0048698,-0.0046327,0.0070952,0.0079294,0.011097,0.010933,-0.018565,-0.019419,0.032671,0.031872
0.35,-0.014366,-0.014487,-0.0030445,-0.0031833,0.0059177,0.0069485,0.0086172,0.00926,-0.015762,-0.015681,0.032158,0.031654
0.36,-0.014174,-0.014375,-0.00092259,-0.00074563,0.0046391,0.0054319,0.005882,0.0060801,-0.012727,-0.013531,0.03069,0.030344
0.37,-0.013665,-0.014008,0.0013132,0.0012078,0.0033098,0.0040698,0.002762,0.0025804,-0.009501,-0.010135,0.028538,0.028378
0.38,-0.012846,-0.013283,0.0033359,0.003422,0.001784,0.0021112,-0.00041045,-0.00031205,-0.0056629,-0.0054189,0.025525,0.024649
0.39,-0.0118,-0.012512,0.0051097,0.0056067,4.0922e-06,0.00020033,-0.0037795,-0.0032158,-0.0015053,-0.0011984,0.022288,0.023714
0.4,-0.010547,-0.01128,0.0070283,0.0064157,-0.0016151,-0.0014302,-0.0065384,-0.006842,0.0028173,0.0027128,0.018247,0.016883
0.41,-0.0088165,-0.0086065,0.0085378,0.0091026,-0.0031913,-0.0032129,-0.0092446,-0.008941,0.0068446,0.0063083,0.014437,0.016118
0.42,-0.0070348,-0.0072536,0.0099001,0.0098128,-0.0043743,-0.0051963,-0.011655,-0.011208,0.01042,0.010701,0.0097143,0.010137
0.43,-0.0049871,-0.004984,0.010912,0.011491,-0.005705,-0.0057123,-0.013619,-0.013846,0.014159,0.012574,0.0046855,0.0045597
0.44,-0.0028301,-0.0026637,0.011803,0.011717,-0.0067656,-0.0076575,-0.015347,-0.015704,0.016841,0.018299,-0.00079072,-0.00033319
0.45,-0.00037311,-0.00023705,0.012448,0.012558,-0.0076387,-0.0086794,-0.016828,-0.016449,0.019487,0.018782,-0.006089,-0.0055241
0.46,0.0019916,0.0020053,0.012793,0.012883,-0.008305,-0.0094661,-0.018053,-0.017334,0.021847,0.021828,-0.010697,-0.01038
0.47,0.0040739,0.0042795,0.012748,0.01304,-0.0089714,-0.0095642,-0.0187,-0.018647,0.023523,0.023251,-0.01496,-0.014101
0.48,0.0062418,0.0060232,0.012451,0.012878,-0.0092461,-0.010549,-0.018923,-0.019022,0.024842,0.023971,-0.018845,-0.018728
0.49,0.0080962,0.0084115,0.011824,0.012244,-0.0094533,-0.010576,-0.018766,-0.019013,0.025585,0.025152,-0.022317,-0.021626
0.5,0.0097186,0.0098464,0.011037,0.011927,-0.009375,-0.010628,-0.018206,-0.018578,0.025664,0.025528,-0.025598,-0.024195
0.51,0.011228,0.010626,0.010063,0.010859,-0.0091302,-0.010508,-0.017173,-0.017474,0.024957,0.02499,-0.027791,-0.02744
0.52,0.012537,0.012089,0.0087689,0.009328,-0.0085603,-0.0096096,-0.015775,-0.016356,0.023543,0.023484,-0.029606,-0.028325
0.53,0.013602,0.012713,0.0072848,0.0079493,-0.0078421,-0.0092534,-0.014053,-0.014786,0.021774,0.022322,-0.030793,-0.029688
0.54,0.014105,0.013995,0.0054379,0.0054364,-0.0070417,-0.0084774,-0.012102,-0.013059,0.019347,0.019594,-0.031251,-0.030466
0.55,0.014309,0.014179,0.0035885,0.0038937,-0.0060981,-0.0074683,-0.0098228,-0.010127,0.016633,0.018216,-0.030968,-0.030458
0.56,0.014164,0.01417,0.0016128,0.0017236,-0.0048795,-0.0053818,-0.0072021,-0.0073623,0.014036,0.016062,-0.029728,-0.029269
0.57,0.013768,0.013966,-0.00073565,-0.00055311,-0.003673,-0.0045304,-0.0043748,-0.004524,0.010351,0.010059,-0.027673,-0.027016
0.58,0.01282,0.012601,-0.0028791,-0.0025117,-0.0023039,-0.0024734,-0.00095307,-0.0007397,0.0068097,0.0072002,-0.025486,-0.026516
0.59,0.011702,0.012063,-0.0047672,-0.0046526,-0.00060715,-0.00037572,0.0023005,0.0021731,0.0027295,0.0027278,-0.022408,-0.022304
0.6,0.010236,0.010056,-0.0066486,-0.006071,0.0010428,0.0011978,0.0052994,0.0049079,-0.0015883,-0.0012063,-0.01905,-0.020766
0.61,0.0088221,0.0099484,-0.0082089,-0.0082195,0.0027142,0.0028529,0.008024,0.0084161,-0.005739,-0.0054026,-0.015195,-0.015449
0.62,0.0070721,0.0075085,-0.0096619,-0.0091394,0.0041182,0.0048011,0.010376,0.011078,-0.0095026,-0.0091387,-0.010965,-0.011179
0.63,0.0050888,0.0049373,-0.010737,-0.011136,0.0053825,0.0062908,0.012886,0.011927,-0.012804,-0.013516,-0.0066995,-0.0070884
0.64,0.0030059,0.0031303,-0.011576,-0.011837,0.0066741,0.0071343,0.014913,0.014827,-0.01575,-0.016064,-0.0016759,-0.0013754
0.65,0.0009598,0.0011769,-0.012222,-0.012388,0.0077999,0.0080208,0.016349,0.016965,-0.018526,-0.017748,0.0038737,0.003651
