a,b,c,d,e,f,g,h,i,j,k,l,m
0.82,-0.022014702,-0.022406245,-0.020168175,-0.020955197,-0.005914347,-0.00605079,0.058328868,0.055997345,-0.062451361,-0.064208119,-0.059159919,-0.053136371
0.83,-0.0246997,-0.022710471,-0.022586755,-0.023190099,-0.005121529,-0.005361998,0.061268569,0.058717319,-0.054307059,-0.054508049,-0.067755476,-0.067528118
0.84,-0.026798003,-0.025721069,-0.024926414,-0.024311992,-0.00426438,-0.004534161,0.062746273,0.061013033,-0.044441336,-0.042042644,-0.075225407,-0.071421055
0.85,-0.028195799,-0.027302757,-0.026398582,-0.026823699,-0.003421652,-0.003910044,0.062691341,0.061582433,-0.034303316,-0.033746765,-0.08105404,-0.077553657
0.86,-0.028972609,-2.83E-02,-0.027204232,-0.027886497,-0.002418077,-0.002368954,0.061203595,0.060658595,-0.023172835,-0.022717564,-0.084722315,-0.082262114
0.87,-0.029116504,-0.028719135,-0.027301692,-0.028336164,-0.001379954,-0.001406749,0.057933703,0.057235967,-0.012811311,-0.014293454,-0.086092816,-0.084316687
0.88,-0.028630145,-0.02849267,-0.026822156,-0.028063737,-0.000233814,-0.000205119,0.053547412,0.053358824,-0.001952141,-0.002327583,-0.085777646,-0.084517187
0.89,-0.027469671,-0.027477851,-0.025844416,-0.027361771,0.00093932,0.000966685,0.04788911,0.047809998,0.010498888,0.008921301,-0.083246242,-0.082752251
0.9,-0.025697825,-0.026061817,-0.02416737,-0.025122105,0.001945513,0.002046993,0.041209079,0.042286922,0.022138559,0.020437634,-0.078672324,-0.077383112
0.91,-0.022972872,-0.022147551,-0.021796941,-0.022448136,0.002958487,0.003094384,0.033240128,0.032404334,0.032514459,0.032436593,-0.072200261,-0.072673024
0.92,-0.020221141,-0.02149292,-0.019380507,-0.021457306,0.003973477,0.003562205,0.025173417,0.026208817,0.042564718,0.040129898,-0.064402371,-0.065229486
0.93,-0.016641271,-0.015800929,-0.016184129,-0.01605435,0.004827793,0.00498502,0.01608944,0.016511065,0.051505615,0.048840253,-0.054741269,-0.054676131
0.94,-0.013125174,-0.014756799,-0.013087744,-0.015575673,0.005490664,0.005654285,0.005845762,0.005159613,0.059144289,0.05636121,-0.04286964,-0.040541962
0.95,-0.009198292,-0.008953057,-0.009727215,-0.010665943,0.00607796,0.006293337,-0.003772554,-0.004062336,0.065572664,0.063674972,-0.03082326,-0.031134747
0.96,-0.005338099,-0.005792771,-0.005947661,-0.005968558,0.006656073,0.006314065,-0.01251707,-0.013723138,0.07066045,0.067919428,-0.018334209,-0.019108795
0.97,-0.001191833,-0.000951791,-0.002191753,-0.001735817,0.007052525,0.006951744,-0.021414494,-0.021721657,0.074332029,0.070586317,-0.006439448,-0.00719468
0.98,0.003060348,0.003573246,0.001619387,0.002346419,0.007294653,0.007136237,-0.030037002,-0.028751963,0.076032421,0.073051374,0.006363186,0.006055905
0.99,0.007791378,0.007240705,0.005639268,0.006003965,0.007308901,0.007359397,-0.03813796,-0.037292374,0.075916077,0.073579233,0.019999107,0.018320938
